make,price
alfa-romero,13495
alfa-romero,16500
alfa-romero,16500
audi,13950
audi,17450
audi,15250
audi,17710
audi,18920
audi,23875
bmw,16430
bmw,16925
bmw,20970
bmw,21105
bmw,24565
bmw,30760
bmw,41315
bmw,36880
chevrolet,5151
chevrolet,6295
chevrolet,6575
dodge,5572
dodge,6377
dodge,7957
dodge,6229
dodge,6692
dodge,7609
dodge,8558
dodge,8921
dodge,12964
honda,6479
honda,6855
honda,5399
honda,6529
honda,7129
honda,7295
honda,7295
honda,7895
honda,9095
honda,8845
honda,10295
honda,12945
honda,10345
isuzu,6785
isuzu,11048
jaguar,32250
jaguar,35550
jaguar,36000
mazda,5195
mazda,6095
mazda,6795
mazda,6695
mazda,7395
mazda,10945
mazda,11845
mazda,13645
mazda,15645
mazda,8845
mazda,8495
mazda,10595
mazda,10245
mazda,10795
mazda,11245
mazda,18280
mazda,18344
mercedes-benz,25552
mercedes-benz,28248
mercedes-benz,28176
mercedes-benz,31600
mercedes-benz,34184
mercedes-benz,35056
mercedes-benz,40960
mercedes-benz,45400
mercury,16503
mitsubishi,5389
mitsubishi,6189
mitsubishi,6669
mitsubishi,7689
mitsubishi,9959
mitsubishi,8499
mitsubishi,12629
mitsubishi,14869
mitsubishi,14489
mitsubishi,6989
mitsubishi,8189
mitsubishi,9279
mitsubishi,9279
nissan,5499
nissan,7099
nissan,6649
nissan,6849
nissan,7349
nissan,7299
nissan,7799
nissan,7499
nissan,7999
nissan,8249
nissan,8949
nissan,9549
nissan,13499
nissan,14399
nissan,13499
nissan,17199
nissan,19699
nissan,18399
peugot,11900
peugot,13200
peugot,12440
peugot,13860
peugot,15580
peugot,16900
peugot,16695
peugot,17075
peugot,16630
peugot,17950
peugot,18150
plymouth,5572
plymouth,7957
plymouth,6229
plymouth,6692
plymouth,7609
plymouth,8921
plymouth,12764
porsche,22018
porsche,32528
porsche,34028
porsche,37028
renault,9295
renault,9895
saab,11850
saab,12170
saab,15040
saab,15510
saab,18150
saab,18620
subaru,5118
subaru,7053
subaru,7603
subaru,7126
subaru,7775
subaru,9960
subaru,9233
subaru,11259
subaru,7463
subaru,10198
subaru,8013
subaru,11694
toyota,5348
toyota,6338
toyota,6488
toyota,6918
toyota,7898
toyota,8778
toyota,6938
toyota,7198
toyota,7898
toyota,7788
toyota,7738
toyota,8358
toyota,9258
toyota,8058
toyota,8238
toyota,9298
toyota,9538
toyota,8449
toyota,9639
toyota,9989
toyota,11199
toyota,11549
toyota,17669
toyota,8948
toyota,10698
toyota,9988
toyota,10898
toyota,11248
toyota,16558
toyota,15998
toyota,15690
toyota,15750
volkswagen,7775
volkswagen,7975
volkswagen,7995
volkswagen,8195
volkswagen,8495
volkswagen,9495
volkswagen,9995
volkswagen,11595
volkswagen,9980
volkswagen,13295
volkswagen,13845
volkswagen,12290
volvo,12940
volvo,13415
volvo,15985
volvo,16515
volvo,18420
volvo,18950
volvo,16845
volvo,19045
volvo,21485
volvo,22470
volvo,22625
